tab	samples
sample	site	specimens	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	orientation_quality	citations	method_codes	timestamp	timestamp	timestamp	timestamp	location	sample_direction_type
ns005c	ns005	ns005c1	MAG	304.9	37.2	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns005c	ns005	ns005c1	MAG	309.8	27.9	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns005d	ns005									47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite				113	0	12	167	-80	g	This study	FS-FD : SO-POM : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns005e	ns005	ns005e1	MAG	291.4	38.4	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns005e	ns005	ns005e1	MAG	298	31	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns005e	ns005									47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite				116.7	0	12	167	-50	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns005f	ns005									47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite				132	0	12	167	-55	g	This study	FS-FD : SO-POM : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns005g	ns005	ns005g1	MAG	300.5	38	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns005g	ns005									47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite				109.1	0	12	167	-47	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns005g	ns005	ns005g1	MAG	306	29.3	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns005h	ns005									47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite				109	0	12	167	-65	g	This study	FS-FD : SO-POM : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns006a	ns006									47.7161	269.50957	Igneous : Extrusive	Lava Flow	Basalt				331	0	12	167	-79	g	This study	FS-FD : SO-POM : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns006b	ns006	ns006b1	HEM	302.4	29.4	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns006b	ns006	ns006b1	HEM	296.5	37.5	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns006b	ns006									47.7161	269.50957	Igneous : Extrusive	Lava Flow	Basalt				330.1	358.1	12	167	-76	g	This study	FS-FD : SO-POM : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns006c	ns006	ns006c1	HEM	294.4	39.6	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns006c	ns006									47.7161	269.50957	Igneous : Extrusive	Lava Flow	Basalt				4.1	358.1	12	167	-78	g	This study	FS-FD : SO-POM : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns006c	ns006	ns006c1	HEM	300.9	31.7	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns006d	ns006	ns006d2	HEM	295.9	34	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns006d	ns006									47.7161	269.50957	Igneous : Extrusive	Lava Flow	Basalt				353.1	358.1	12	167	-85	g	This study	FS-FD : SO-POM : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns006d	ns006	ns006d2	HEM	301.1	26	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns006e	ns006									47.7161	269.50957	Igneous : Extrusive	Lava Flow	Basalt				4.1	358.1	12	167	-87	g	This study	FS-FD : SO-POM : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns006e	ns006	ns006e2	HEM	298.4	32.6	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns006e	ns006	ns006e2	HEM	291.4	40	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns006f	ns006	ns006f1	HEM	302.8	32.5	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns006f	ns006	ns006f1	HEM	296.2	40.7	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns006f	ns006									47.7161	269.50957	Igneous : Extrusive	Lava Flow	Basalt				3.1	358.1	12	167	-88	g	This study	FS-FD : SO-POM : SO-GT5 : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns007a	ns007	ns007a1	HEM	296.1	35	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns007a	ns007	ns007a1	HEM	288.3	41.9	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns007a	ns007									47.70123	269.46093	Igneous : Extrusive	Lava Flow	Basalt				349.2	358.2	12	167	-8	g	This study	FS-FD : SO-POM : SO-GT5 : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns007b	ns007									47.70123	269.46093	Igneous : Extrusive	Lava Flow	Basalt		## direction deleted because: bad mark in field##.		126	0	12	167	-7	b	This study	FS-FD : SO-POM : SO-GT5 : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns007c	ns007	ns007c1	HEM	303.1	42.3	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns007c	ns007									47.70123	269.46093	Igneous : Extrusive	Lava Flow	Basalt				297.2	0	12	167	-7	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns007c	ns007	ns007c1	HEM	309.2	33.2	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns007d	ns007									47.70123	269.46093	Igneous : Extrusive	Lava Flow	Basalt				299.4	0	12	167	-16	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns007d	ns007	ns007d1	HEM	306.2	40.3	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
