tab 	measurements
citations	dir_csd	dir_dec	dir_inc	experiment	location	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sample	site	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	0.6	268.1	46.5	ns013c1:LT-NO	North Shore Volcanics	2.677e-06	4	273	1	LT-NO	g	ns013c	ns013	ns013c1	u	SAN	0	0	0	0	273
This study	0.4	269.3	45.4	ns013c2:LT-NO	North Shore Volcanics	3.255e-06	4	273	1	LT-NO	g	ns013c	ns013	ns013c2	u	SAN	0	0	0	0	273
This study	0.5	331.3	64.5	ns013d1:LT-NO	North Shore Volcanics	4.647e-06	4	273	1	LT-NO	g	ns013d	ns013	ns013d1	u	SAN	0	0	0	0	273
This study	0.5	328.2	64.2	ns013d2:LT-NO	North Shore Volcanics	6.057e-06	4	273	1	LT-NO	g	ns013d	ns013	ns013d2	u	SAN	0	0	0	0	273
This study	0.4	335.8	64.3	ns013d3:LT-NO	North Shore Volcanics	6.23e-06	4	273	1	LT-NO	g	ns013d	ns013	ns013d3	u	SAN	0	0	0	0	273
This study	0.7	240.4	23.9	ns013e1:LT-NO	North Shore Volcanics	2.542e-06	4	273	1	LT-NO	g	ns013e	ns013	ns013e1	u	SAN	0	0	0	0	273
This study	0.6	245.5	22.5	ns013e2:LT-NO	North Shore Volcanics	2.71e-06	4	273	1	LT-NO	g	ns013e	ns013	ns013e2	u	SAN	0	0	0	0	273
This study	0.4	240.6	22.7	ns013e3:LT-NO	North Shore Volcanics	2.696e-06	4	273	1	LT-NO	g	ns013e	ns013	ns013e3	u	SAN	0	0	0	0	273
This study	0.5	240.9	9.1	ns013f1:LT-NO	North Shore Volcanics	5.177e-06	4	273	1	LT-NO	g	ns013f	ns013	ns013f1	u	SAN	0	0	0	0	273
This study	0.6	246.2	8.5	ns013f2:LT-NO	North Shore Volcanics	4.747e-06	4	273	1	LT-NO	g	ns013f	ns013	ns013f2	u	SAN	0	0	0	0	273
This study	0.4	315.6	41.3	ns014a1:LT-NO	North Shore Volcanics	9.078e-06	4	273	1	LT-NO	g	ns014a	ns014	ns014a1	u	SAN	0	0	0	0	273
This study	0.4	342.3	30.6	ns014b1:LT-NO	North Shore Volcanics	5.795e-06	4	273	1	LT-NO	g	ns014b	ns014	ns014b1	u	SAN	0	0	0	0	273
This study	0.2	126.3	23.9	ns014c1:LT-NO	North Shore Volcanics	6.143e-06	4	273	1	LT-NO	g	ns014c	ns014	ns014c1	u	SAN	0	0	0	0	273
