pole_name,citations,location,site,lat,lon,age,age_high,age_low,age_unit,age_uncertainty,dir_dec,dir_inc,dir_k,dir_f,dir_alpha95,dir_r,dir_tilt_correction,dir_polarity,dir_n_specimens,dir_n_samples,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,geologic_classes,lithologies,geologic_types,age_model,height_type,height,height_upper,height_lower,paleolatitude,Plon,Plat
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(208.4 to 219.9),48.7415,272.3517,1105.15,1105.48,1104.82,Ma,gaussian,100.9,-52.0,116.52794292508918,1.0,5.8,,100,r,5.0,5.0,-30.680426263860863,18.260559990352135,30.680426263860863,198.26055999035214,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2659.4,,,-32.61805682214758,198.26055999035214,30.680426263860863
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(245.4 to 252.7),48.7405,272.3524,1105.15,1105.48,1104.82,Ma,gaussian,108.3,-55.3,116.61807580174924,1.0,4.9,,100,r,7.0,7.0,-37.4418220899189,16.547798773020872,37.4418220899189,196.54779877302087,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2696.4,,,-35.8327379675501,196.54779877302087,37.4418220899189
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(268.4 to 289.5),48.7399,272.3533,1105.15,1105.48,1104.82,Ma,gaussian,93.1,-66.3,336.076817558299,1.0,2.7,,100,r,8.0,8.0,-36.046067320784296,37.787270321559674,36.046067320784296,217.78727032155967,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2719.4,,,-48.718853306902,217.78727032155967,36.046067320784296
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(289.8 to 301.1),48.7393,272.3536,1105.15,1105.48,1104.82,Ma,gaussian,101.7,-61.0,98.0,1.0,5.0,,100,r,8.0,8.0,-37.07073482634455,26.668065845869194,37.07073482634455,206.6680658458692,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2740.8,,,-42.051214164410815,206.6680658458692,37.07073482634455
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(40.6 to 57.8),48.7451,272.3607,1105.15,1105.48,1104.82,Ma,gaussian,95.2,-65.3,116.29286816186068,1.0,5.3,,100,r,6.0,6.0,-36.4235913987645,35.439912553466456,36.4235913987645,215.43991255346646,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2491.6,,,-47.3891335422095,215.43991255346646,36.4235913987645
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(76.5 to 94.1),48.7448,272.3514,1105.15,1105.48,1104.82,Ma,gaussian,105.2,-72.2,77.77777777777779,1.0,6.0,,100,r,7.0,7.0,-46.55274129222217,43.043326120130416,46.55274129222217,223.04332612013042,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2527.5,,,-57.29427298115865,223.04332612013042,46.55274129222217
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(94.1 to 104.2),48.7445,272.3514,1105.15,1105.48,1104.82,Ma,gaussian,103.4,-78.6,271.4681440443213,1.0,3.8,,100,r,5.0,5.0,-48.97058730062917,58.69370758269156,48.97058730062917,238.69370758269156,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2545.1,,,-68.03722162383887,238.69370758269156,48.97058730062917
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI7(0.0 to 3.9),48.7406,272.3318,1105.15,1105.48,1104.82,Ma,gaussian,128.6,-48.4,425.34722222222223,1.0,2.4,,100,r,8.0,8.0,-46.66595035017992,355.21321029097214,46.66595035017992,175.21321029097214,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2798.0,,,-29.38662612009495,175.21321029097214,46.66595035017992
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI7(3.9 to 5.4),48.7405,272.3316,1105.15,1105.48,1104.82,Ma,gaussian,132.8,-53.6,33.08128544423441,1.0,9.2,,100,r,7.0,7.0,-52.44490291944481,357.38416935303553,52.44490291944481,177.38416935303553,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2801.9,,,-34.144472921454756,177.38416935303553,52.44490291944481
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI7(9.6 to 18.0),48.7403,272.3316,1105.15,1105.48,1104.82,Ma,gaussian,120.1,-55.6,58.811174123083376,1.0,6.9,,100,r,7.0,7.0,-45.26897075977261,9.223343348942308,45.26897075977261,189.2233433489423,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2807.6,,,-36.138099145920435,189.2233433489423,45.26897075977261
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI8(0.0 to 3.9),48.7466,272.3806,1105.15,1105.48,1104.82,Ma,gaussian,126.1,-68.9,506.19834710743794,1.0,2.2,,100,r,8.0,8.0,-56.36021236817931,29.36795946437428,56.36021236817931,209.36795946437428,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2336.0,,,-52.34134641734542,209.36795946437428,56.36021236817931
